uo;programa;acao;subacao;descricao_medida;descricao_produto;qtde_prevista_orig;qtde_concedida;ind_meta_cumulativa;qtde_executada_ate_per;qtde_exec_orig;qtde_exec_red;qtde_exec_total;eficacia_final;valor_orcado;valor_emp_orig;valor_liquid ;eficiencia_liq_final;sequencia_sub_acao
207;239;2375;10;Unidade;Evento realizado;1;0;S;0;;;;;0;0;0;;1681
208;154;2369;1;Unidade;Projeto incentivado;150;0;S;33;33;;;;12.010.000,00;1.479.527,58;1.479.527,58;;2107
300;15;2007;2;Unidade;Campanha realizada;40;0;S;19;;;;;1.000.000,00;15.394.785,01;15.394.785,01;;519
501;3;2830;2;Pessoa;Pessoa capacitada;84;0;S;30;30;0;30;0,357;50.000,00;61.276,14;60.226,14;0,297;1036
600;9;1323;1;Unidade;Curso realizado;7;7;S;0;0;0;0;0;300.000,00;0;0;#DIV/0!;2855
600;9;2023;1;Percentual de execu��o;Sistema implantado;31;31;S;0;0;0;0;0;6.100.000,00;0;0;#DIV/0!;2856
600;9;2023;3;Percentual de execu��o;Escrit�rio implantado;20;20;S;0;0;0;0;0;100.000,00;0;0;#DIV/0!;2858
600;9;2023;6;Percentual de execu��o;Sistema implantado;40;40;S;0;0;0;0;0;3.000.000,00;0;0;#DIV/0!;2860
600;9;2023;9;Percentual de execu��o;Processo modernizado;10;10;S;0;0;0;0;0;680.000,00;0;0;#DIV/0!;2863
600;9;2023;10;Pessoa;Servidor capacitado;200;200;S;0;0;0;0;0;522.000,00;0;0;#DIV/0!;2864
600;14;2809;5;Unidade;Sistema Implantado;1;1;S;0;0;0;0;0;17.000,00;0;15.956,38;0;2844
600;14;2889;3;Unidade;M�dulo implantado;1;1;S;0;0;0;0;0;0;0;0;#DIV/0!;2847
600;144;2876;3;Unidade;Relat�rio publicado;1;1;S;0;0;0;0;0;4.000,00;0;0;#DIV/0!;2852
600;144;2876;6;Unidade;Plataforma virtual implementada;1;1;S;0;0;0;0;0;40.000,00;0;0;#DIV/0!;2853
600;222;2365;3;Percentual de execu��o;Sistema implantado;25;25;S;0;0;0;0;0;1.998.000,00;0;0;#DIV/0!;2869
600;222;2365;4;Percentual de execu��o;Central implantada;50;50;S;0;0;0;0;0;1.400.000,00;0;0;#DIV/0!;2870
600;222;2365;5;Percentual de execu��o;Central implantada;50;50;S;0;0;0;0;0;1.400.000,00;0;0;#DIV/0!;2871
600;222;2365;6;Unidade;SAC's Modernizados;2;2;S;0;0;0;0;0;500.000,00;0;0;#DIV/0!;2872
600;220;2021;4;Pessoa;Benefici�rio aderido;3.600;3.152;S;19;448;19;467;0,13;0;0;0;#DIV/0!;2851
600;14;2809;3;Pessoa;Pessoa capacitada;13.758;11.381;S;905;2.377;905;3.282;0,239;754.000,00;0;0;#DIV/0!;2843
600;221;1373;7;Unidade;Pra�a com Internet disponibilizada;70;0;S;18;18;0;18;0,257;0;0;0;#DIV/0!;312
600;9;2023;2;Percentual de execu��o;Sistema modernizado;15;15;S;5;0;5;5;0,333;700.000,00;0;0;#DIV/0!;2857
600;14;2809;16;Pessoa;Pessoa capacitada;987;861;S;259;126;259;385;0,39;614.000,00;0;0;#DIV/0!;2846
600;14;2809;6;Unidade;Processo Seletivo realizado;5;4;S;2;1;2;3;0,6;130.000,00;0;19.144,57;4,074;2845
600;221;1373;5;Unidade;Vilas e Favelas com �reas de Internet disponibilizada;99;0;S;61;61;0;61;0,616;3.102.180,00;1.484.632,59;1.115.374,13;1,714;315
600;9;2365;1;Unidade;Atendimento realizado;1.000.000;539.625;S;220.156;460.375;220.156;680.531;0,681;0;0;0;#DIV/0!;2865
600;9;2023;4;Unidade;Atividade realizada;500;400;S;275;100;275;375;0,75;3.655.000,00;0;0;#DIV/0!;2859
600;220;2021;3;Unidade;Servidor examinado;5.500;2.380;S;1.235;3.120;1.235;4.355;0,792;5.070.000,00;2.483.091,38;2.483.091,38;1,617;2850
600;9;2023;8;Percentual de execu��o;Arquivo p�blico modernizado;20;3;S;0;17;0;17;0,85;1.050.000,00;0;0;#DIV/0!;2862
600;220;2021;1;Unidade;Unidade Implantada;120;48;S;32;72;32;104;0,867;1.000,00;0;0;#DIV/0!;2848
600;220;2021;2;Pessoa;Pessoa imunizada;12.500;1.376;S;0;11.124;0;11.124;0,89;480.000,00;0;0;#DIV/0!;2849
600;9;2365;2;Percentual de execu��o;Funcionalidade implantanda;10;3;S;3;7;3;10;0,95;910.000,00;0;37.998,97;22,751;2866
600;4;2518;2;Unidade;Or�amento Municipal elaborado / monitorado;1;1;S;1;0;1;1;1;0;0;0;#DIV/0!;2841
600;4;2518;3;Unidade;Plano Plurianual elaborado / monitorado;1;1;S;1;0;1;1;1;0;0;0;#DIV/0!;2842
600;221;1373;8;Unidade;Telecentro com programa implantado;252;0;N;258;258;0;258;1,024;0;0;0;#DIV/0!;1300
600;9;2365;7;Unidade;Atendimento realizado;800.000;117.266;S;354.236;682.734;354.236;1.036.970;1,296;17.306.004,00;0;6.311.189,97;3,554;2867
600;9;2365;8;Percentual de execu��o;Sistema implantado;15;0;S;10;15;10;25;1,667;610.000,00;0;45.321,28;22,432;2868
600;240;2876;9;Unidade;Atividade realizada;1;0;N;1;0;0;0;0;0;0;0;#DIV/0!;2854
600;9;2023;7;Unidade;Fluxo customizado;500;0;S;500;500;0;500;1;100.000,00;127.840,00;127.840,00;0,782;2009
604;85;2602;1;Percentual de execu��o;Processo implantado;85;0;N;56;56;0;56;0,659;2.763.416,00;1.904.296,68;1.707.598,68;1,066;288
604;85;2602;2;Percentual de execu��o;Data center adequado;20;0;N;20;20;0;20;1;40.093.989,00;27.376.317,52;26.591.637,07;1,508;284
604;85;2602;4;Percentual de execu��o;Processo implantado;100;0;S;0;0;0;0;0;206.077,00;218.749,97;140.682,85;0;283
604;85;2602;5;Percentual;Parque computacional de desktop da PBH atualizado;25;0;S;8;8;0;8;0,329;39.190,00;17.243,69;8.993,69;1,433;289
604;85;2602;6;Percentual;Redu��o da quantidade de dados mantidos em backup;75;0;S;0;0;0;0;0;1.250.000,00;0;0;#DIV/0!;292
604;85;2603;5;Percentual de execu��o;Processo de Software executado;50;0;S;0;0;0;0;0;0;0;0;#DIV/0!;1894
604;85;2604;1;Unidade;Centro de Inclus�o digital ativo;302;0;N;302;302;0;302;1;2.626.011,00;1.985.606,15;1.886.308,35;1,392;303
604;85;2604;2;Unidade;Equipamento recondicionado;500;0;S;525;525;0;525;1,05;8.500,00;0;0;#DIV/0!;301
604;85;2605;3;Unidade;Servi�o monitorado;15;0;S;15;15;0;15;1;1.904.738,00;0;0;#DIV/0!;2485
604;85;2605;4;Unidade;Host monitorado;2.500;0;S;451;451;0;451;0,18;0;0;0;#DIV/0!;2486
604;85;2605;5;Unidade;N�cleo implantado;2;0;N;0;0;0;0;0;0;0;0;#DIV/0!;2487
604;85;2605;6;Kil�metro;Fibra �tica instalada;10;0;S;36;36;0;36;3,6;6.447.263,00;2.395.734,25;1.415.330,98;16,399;2488
604;85;2605;7;Unidade;Ponto conetado com ativos de rede;107;0;S;91;91;0;91;0,85;9.071.758,00;2.204.931,82;1.626.161,38;4,744;2489
604;85;2605;8;Percentual de execu��o;Plano implantado;80;0;S;75;75;0;75;0,938;1.180.036,00;316.109,35;310.592,87;3,562;2490
604;85;2882;2;Percentual;Sistema atualizado;100;0;S;0;0;0;0;0;0;0;0;#DIV/0!;2491
604;85;2900;4;Pessoa;Pessoa capacitada;2.000;0;S;1.527;1.527;0;1.527;0,764;50.000,00;6.325,50;6.325,50;6,035;282
604;237;2404;1;Unidade;Vaga disponibilizada;485;0;S;760;760;0;760;1,567;0;0;0;#DIV/0!;516
607;4;2518;2;Unidade;Or�amento Municipal elaborado / monitorado;1;0;S;0;;;;;0;0;0;;1461
607;4;2518;3;Unidade;Plano Plurianual elaborado / monitorado;1;0;S;0;;;;;0;0;0;;1462
610;14;2809;3;Pessoa;Pessoa capacitada;13.758;0;S;2.377;;;;;754.000,00;0;0;;1165
610;14;2809;5;Unidade;Sistema Implantado;1;0;S;0;;;;;17.000,00;15.956,38;15.956,38;;1324
610;14;2809;6;Unidade;Processo Seletivo realizado;5;0;S;1;;;;;130.000,00;19.144,57;19.144,57;;1167
610;14;2809;16;Pessoa;Pessoa capacitada;987;0;S;126;;;;;614.000,00;0;0;;2425
610;14;2889;3;Unidade;M�dulo implantado;1;0;S;0;;;;;0;0;0;;1179
610;220;2021;1;Unidade;Unidade Implantada;120;0;S;72;;;;;1.000,00;0;0;;1171
610;220;2021;2;Pessoa;Pessoa imunizada;12.500;0;S;11.124;;;;;480.000,00;0;0;;1172
610;220;2021;3;Unidade;Servidor examinado;5.500;0;S;3.120;;;;;5.070.000,00;2.483.091,38;2.483.091,38;;1173
610;220;2021;4;Pessoa;Benefici�rio aderido;3.600;0;S;448;;;;;0;0;0;;1174
612;144;2876;3;Unidade;Relat�rio publicado;1;0;S;0;;;;;4.000,00;0;0;;1949
612;144;2876;6;Unidade;Plataforma virtual implementada;1;0;S;0;;;;;40.000,00;0;0;;1951
612;240;2876;9;Unidade;Atividade realizada;1;0;N;0;;;;;1.849.210,00;0;0;;2038
800;13;2052;4;Unidade;Im�vel recadastrado;4.500;0;S;15.683;23.674;15.683;39.357;8,746;0;0;1.478.278,90;#DIV/0!;2614
801;13;2052;4;Unidade;Im�vel recadastrado;4.500;0;S;23.674;;;;;0;1.478.278,90;1.478.278,90;;479
805;105;2652;5;Pessoa;Servidor capacitado;124;0;S;16;16;0;16;0,129;200.000,00;39.781,63;39.461,63;0,654;2153
1000;120;2797;1;Unidade;Atendimento realizado;20.000;0;S;28.851;28.851;0;28.851;1,443;2.308.000,00;2.448.276,22;2.448.276,22;1,36;578
1000;120;2797;2;Unidade;Cadastro atualizado;34.000;0;S;41.736;41.736;0;41.736;1,228;0;0;0;#DIV/0!;579
1000;120;2797;3;Unidade;Cadastro Novo Realizado;18.000;0;S;38.016;38.016;0;38.016;2,112;1.000,00;0;0;#DIV/0!;571
1000;120;2797;4;Unidade;Benef�cio trabalhado;15.000;0;N;3.215;3.215;0;3.215;0,214;0;0;0;#DIV/0!;572
1000;123;1345;1;Unidade;Local com sistema implantado;50;0;S;10;10;0;10;0,2;1.000,00;0;0;#DIV/0!;574
1000;123;1345;2;Percentual de execu��o;Evolu��o executada;26;0;S;13;13;0;13;0,5;1.269.400,00;763.749,00;222.668,42;2,85;587
1000;123;2787;1;Unidade;Material cartogr�fico elaborado;180;0;S;0;0;0;0;0;5.000,00;0;0;#DIV/0!;582
1000;123;2787;2;Unidade;Material produzido;12;0;S;4;4;0;4;0,333;0;0;0;#DIV/0!;583
1000;123;2787;3;Unidade;A��es Intersetoriais;500;0;S;17;17;0;17;0,034;6.000,00;0;0;#DIV/0!;584
1000;127;2334;3;Unidade;Evento realizado;2;1;S;1;1;1;2;1;70.000,00;0;30.154,00;2,321;2626
1000;127;2335;1;Unidade;Atividade realizada;15;0;S;11;20;11;31;2,067;28.000,00;0;64.020,00;0,904;2630
1000;127;2335;2;Unidade;Oficina realizada;8;6;S;5;2;5;7;0,875;30.000,00;0;0;#DIV/0!;2631
1000;127;2335;3;Unidade;Atividade realizada;10;10;S;19;0;19;19;1,9;30.000,00;0;0;#DIV/0!;2634
1000;132;2120;2;Unidade;Refei��o Servida;2.500.000;966.461;S;876.265;1.533.539;876.265;2.409.804;0,964;1.200.000,00;0;758.764,31;1,524;2674
1000;132;2120;4;Unidade;Refei��o Servida;3.000.000;1.690.578;S;665.310;1.309.422;665.310;1.974.732;0,658;1.000.000,00;0;559.597,56;1,176;2675
1000;132;2120;5;Quilo;Alimento doado;250.000;136.700;S;66.483;113.300;66.483;179.782;0,719;644.000,00;0;224.829,95;2,06;2676
1000;132;2120;6;Pessoa;Pessoa beneficiada;700;560;S;1.908;140;1.908;2.048;2,926;1.000,00;0;0;#DIV/0!;2677
1000;132;2120;7;Unidade;Refei��o Servida;30.000;0;S;38.987;38.987;0;38.987;1,3;20.000,00;1.137,50;1.137,50;22,85;27
1000;132;2121;1;Pessoa;Produtor beneficiado;300;247;S;41;53;41;94;0,313;1.000,00;0;0;#DIV/0!;2682
1000;132;2121;2;Percentual de execu��o;Equipamento p�blico implantado;40;40;S;0;0;0;0;0;1.000,00;0;0;#DIV/0!;2685
1000;132;2121;3;Unidade;Projeto elaborado;5;5;S;5;0;5;5;1;1.000,00;0;0;#DIV/0!;2687
1000;132;2121;5;Quilo;Alimento comercializado;1.500.000;1.204.467;S;122.492;295.533;122.492;418.024;0,279;2.000,00;0;0;#DIV/0!;2688
1000;132;2121;6;Quilo;Alimento comercializado;250.000;166.825;S;36.805;83.175;36.805;119.980;0,48;1.000,00;0;0;#DIV/0!;2689
1000;132;2121;7;Unidade;Horta ativa;230;230;N;151;151;151;151;0,657;42.650,00;0;0;#DIV/0!;2690
1000;132;2121;8;Unidade;Pomar ativo;60;60;N;51;51;51;51;0,85;1.800,00;0;0;#DIV/0!;2692
1000;132;2121;9;Pessoa;Pessoa atendida;400;400;S;0;0;0;0;0;1.000,00;0;0;#DIV/0!;2696
1000;132;2121;10;Pessoa;Produtor beneficiado;40;40;N;56;8;56;56;1,4;1.000,00;0;0;#DIV/0!;2697
1000;132;2305;1;Quilo;Alimento comercializado;40.000.000;18.369.568;S;9.745.702;21.630.432;9.745.702;31.376.134;0,784;1.000,00;0;0;#DIV/0!;2702
1000;132;2305;2;Unidade;Feira realizada;61;61;N;61;61;61;61;1;0;0;0;#DIV/0!;2705
1000;163;2884;1;Pessoa;Pessoa capacitada;500;0;S;0;0;0;0;0;0;0;0;#DIV/0!;593
1000;163;2884;3;Unidade;Evento realizado;8;0;S;3;3;0;3;0,375;0;0;0;#DIV/0!;978
1000;234;1353;1;Unidade;Espa�o implantado;54;0;N;34;0;34;34;0,63;2.000,00;0;0;#DIV/0!;595
1000;234;2120;8;Unidade;Refei��o Servida;750.000;240.951;S;243.146;509.049;243.146;752.195;1,003;450.000,00;0;266.267,88;1,695;2708
1000;234;2859;16;Unidade;Conselho modernizado;4;0;S;0;0;0;0;0;0;0;0;#DIV/0!;590
1000;234;2883;1;Fam�lia;Fam�lia atendida;3.240;0;N;2.041;0;2.041;2.041;0,63;0;0;0;#DIV/0!;575
1000;235;2120;9;Unidade;Refei��o Servida;25.000;908.960;S;816.180;17.788;816.180;833.968;33,359;320.200,00;0;112.731,01;94,752;2712
1000;235;2345;6;Unidade;Atendimento realizado;2.500.000;7.212;S;12.471;1.591.040;12.471;1.603.511;0,641;1.200.000,00;0;694.637,53;1,108;2635
1000;236;2331;2;Pessoa;Pessoa Participante;9.000;1.556;S;4.846;7.444;4.846;12.290;1,366;40.000,00;0;14.132,10;3,865;2714
1000;236;2331;3;Pessoa;Pessoa Participante;5.000;3.259;S;2.032;1.741;2.032;3.773;0,755;500;0;0;#DIV/0!;2715
1000;236;2331;4;Unidade;Campanha realizada;5;2;S;3;3;3;6;1,2;1.000,00;0;0;#DIV/0!;2716
1000;236;2331;5;Pessoa;Pessoa capacitada;400;46;S;203;354;203;557;1,393;72.500,00;0;28.997,07;3,482;2718
1000;236;2331;6;Pessoa;pessoa qualificada;660;204;S;269;456;269;725;1,098;122.000,00;0;30.364,53;4,414;2720
1000;236;2331;8;Unidade;Estudo / pesquisa realizado;12;6;S;0;6;0;6;0,5;57.021,00;0;21.373,02;1,334;2721
1000;236;2331;9;Pessoa;Pessoa atendida;2.200;508;S;709;1.692;709;2.401;1,091;1.000,00;0;0;#DIV/0!;2723
1000;236;2331;11;Unidade;Parecer emitido;200;0;S;75;208;75;283;1,415;0;0;0;#DIV/0!;2725
1000;236;2333;1;Unidade;Atividade realizada;120;0;S;45;195;45;240;2;5.000,00;0;0;#DIV/0!;2637
1000;236;2333;2;Unidade;Grupo acompanhado;120;120;N;177;149;177;177;1,475;40.000,00;0;8.820,00;6,689;2641
1000;236;2333;3;Unidade;A��o realizada;4;1;S;2;3;2;5;1,25;2.000,00;0;0;#DIV/0!;2649
1000;236;2333;4;Unidade;A��o realizada;8;1;S;6;7;6;13;1,625;70.000,00;0;8.202,64;13,867;2650
1000;236;2333;5;Unidade;A��o realizada;4;0;S;2;7;2;9;2,25;38.000,00;0;0;#DIV/0!;2657
1000;236;2333;6;Unidade;Atividade realizada;80;0;S;56;188;56;244;3,05;70.000,00;0;0;#DIV/0!;2658
1000;236;2333;8;Unidade;A��o realizada;40;22;S;37;18;37;55;1,375;348.000,00;0;2.300,00;208,043;2659
1000;236;2333;9;Unidade;Evento realizado;1;1;S;1;0;1;1;1;13.000,00;0;0;#DIV/0!;2660
1000;236;2333;11;Unidade;Diagn�stico realizado;1;1;S;0;0;0;0;0;20.000,00;0;0;#DIV/0!;2661
1000;236;2335;4;Unidade;Guia produzido;1;1;S;0;0;0;0;0;35.000,00;0;0;#DIV/0!;2662
1000;236;2345;5;Unidade;Atendimento realizado;500;420;S;81;80;81;161;0,322;8.000,00;0;0;#DIV/0!;2663
1000;236;2345;7;Unidade;Atendimento realizado;600;291;S;211;309;211;520;0,867;490.300,00;0;2.052,83;206,996;2664
1000;236;2819;3;Unidade;Confer�ncia realizada;10;10;S;0;0;0;0;0;10.000,00;0;0;#DIV/0!;2726
1000;236;2819;4;Unidade;Forum realizado;9;8;S;0;1;0;1;0,111;22.500,00;0;2.191,00;1,141;2728
1008;127;2334;3;Unidade;Evento realizado;2;0;S;1;;;;;70.000,00;30.154,00;30.154,00;;246
1008;127;2335;1;Unidade;Atividade realizada;15;0;S;20;;;;;28.000,00;64.020,00;64.020,00;;247
1008;127;2335;2;Unidade;Oficina realizada;8;0;S;2;;;;;30.000,00;0;0;;248
1008;127;2335;3;Unidade;Atividade realizada;10;0;S;0;;;;;30.000,00;0;0;;249
1008;235;2345;6;Unidade;Atendimento realizado;25.000;0;S;17.788;;;;;320.200,00;112.731,01;112.731,01;;2479
1008;236;2333;1;Unidade;Atividade realizada;120;0;S;195;;;;;5.000,00;0;0;;239
1008;236;2333;2;Unidade;Grupo acompanhado;120;0;N;149;;;;;40.000,00;8.820,00;8.820,00;;240
1008;236;2333;3;Unidade;A��o realizada;4;0;S;3;;;;;2.000,00;0;0;;241
1008;236;2333;4;Unidade;A��o realizada;8;0;S;7;;;;;70.000,00;8.202,64;8.202,64;;242
1008;236;2333;5;Unidade;A��o realizada;4;0;S;7;;;;;38.000,00;0;0;;243
1008;236;2333;6;Unidade;Atividade realizada;80;0;S;188;;;;;70.000,00;0;0;;244
1008;236;2333;8;Unidade;A��o realizada;40;0;S;18;;;;;348.000,00;2.300,00;2.300,00;;254
1008;236;2333;9;Unidade;Evento realizado;1;0;S;0;;;;;13.000,00;0;0;;255
1008;236;2333;11;Unidade;Diagn�stico realizado;1;0;S;0;;;;;20.000,00;0;0;;1851
1008;236;2335;4;Unidade;Guia produzido;1;0;S;0;;;;;35.000,00;0;0;;258
1008;236;2345;5;Unidade;Atendimento realizado;500;0;S;80;;;;;8.000,00;0;0;;257
1008;236;2345;7;Unidade;Atendimento realizado;600;0;S;309;;;;;490.300,00;2.052,83;2.052,83;;2167
1010;132;2307;2;Unidade;Refei��o Servida;3.000.000;0;S;2.375.014;2.375.014;0;2.375.014;0,792;22.623.901,00;20.162.461,22;15.174.071,00;1,18;3
1011;19;2308;2;Fam�lia;Fam�lia referenciada;15.000;0;N;15.000;15.000;0;15.000;1;2.943.812,00;2.058.628,35;1.920.171,23;1,533;968
1011;19;2308;2;Fam�lia;Fam�lia referenciada;15.000;0;N;15.000;15.000;0;15.000;1;3.386.197,00;2.478.656,61;2.293.596,13;1,476;969
1011;19;2308;2;Fam�lia;Fam�lia referenciada;20.000;0;N;20.000;20.000;0;20.000;1;3.875.029,00;2.646.986,87;2.467.417,37;1,57;970
1011;19;2308;2;Fam�lia;Fam�lia referenciada;15.000;0;N;15.000;15.000;0;15.000;1;2.429.590,00;1.584.883,47;1.493.241,41;1,627;971
1011;19;2308;2;Fam�lia;Fam�lia referenciada;25.000;0;N;25.000;25.000;0;25.000;1;5.232.410,00;3.286.194,48;3.073.407,80;1,702;972
1011;19;2308;2;Fam�lia;Fam�lia referenciada;25.000;0;N;25.000;25.000;0;25.000;1;4.804.885,00;3.305.231,75;3.071.308,26;1,564;973
1011;19;2308;2;Fam�lia;Fam�lia referenciada;20.000;0;N;20.000;20.000;0;20.000;1;4.160.047,00;3.127.674,13;2.914.038,25;1,428;974
